state,value
California,96
California,96
California,96
California,96
California,96
California,96
California,96
California,96
California,96
California,96
California,96
California,96
California,96
California,96
California,96
California,96
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
California,95
New York,95
New York,95
New York,95
Oregon,95
Oregon,95
Oregon,95
Oregon,95
Oregon,95
Oregon,95
Oregon,95
Oregon,95
Oregon,95
Oregon,95
Oregon,95
Oregon,95
Oregon,95
Oregon,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
Washington,95
California,94
California,94
California,94
California,94
California,94
California,94
California,94
California,94
California,94
California,94
Washington,94
California,93
California,93
California,93
California,93
California,93
California,93
California,93
California,92
California,92
